Ubigeo,Densidad
050909,6.74
050910,9.43
050911,2.86
051000,8.90
051001,8.46
051002,12.21
051003,3.66
051004,6.48
051005,15.06
051006,16.49
051007,14.44
051008,16.25
051009,7.84
051010,12.91
051011,7.01
051012,4.79
051100,14.40
051101,29.35
051102,10.80
051103,14.37
051104,7.33
051105,8.87
051106,13.00
051107,10.93
051108,13.85
060000,40.27
060100,116.92
060101,571.13
060102,37.80
060103,49.46
060104,12.09
060105,30.20
060106,56.04
060107,115.08
060108,167.21
060109,38.47
060110,57.82
060111,51.20
060112,62.04
060200,41.86
060201,162.61
060202,28.65
060203,65.40
060204,12.77
060300,29.93
060301,65.83
060302,13.27
060303,28.95
060304,24.33
060305,8.32
060306,44.10
060307,16.40
060308,18.41
060309,43.25
060310,18.65
060311,10.42
060312,34.97
060400,37.68
060401,180.45
060402,26.11
060403,51.48
060404,71.39
060405,11.05
060406,13.58
060407,42.66
060408,31.35
060409,33.08
060410,91.68
060411,14.29
060412,7.70
060413,47.29
060414,8.61
060415,26.65
060416,4.67
060417,80.12
060418,3.87
060419,50.74
060500,13.38
060501,20.84
060502,19.66
060503,4.78
060504,53.58
060505,6.98
060506,15.29
060507,16.41
060508,12.30
060600,39.87
060601,120.63
060602,29.62
060603,10.39
060604,21.38
060605,121.73
060606,27.42
060607,18.63
060608,31.37
060609,30.46
060610,27.27
060611,20.48
060612,45.20
060613,24.96
060614,67.07
060615,27.20
060700,100.31
060701,132.84
060702,29.20
060703,66.86
060800,35.44
060801,175.33
060802,17.73
060803,22.87
060804,13.91
060805,94.35
060806,71.25
060807,11.38
060808,28.48
060809,18.80
060810,18.40
060811,10.98
060812,35.35
060900,26.24
060901,90.73
060902,41.45
060903,19.54
060904,52.03
060905,13.70
060906,11.49
060907,22.09
061000,35.32
061001,83.14
061002,47.82
061003,42.29
061004,24.11
061005,25.01
061006,30.82
061007,20.24
061100,18.11
061101,36.50
061102,16.70
061103,12.08
061104,13.94
061105,22.92
061106,35.49
061107,33.69
061108,3.59
061109,20.71
061110,7.24
061111,27.67
061112,16.39
061113,17.59
061200,31.40
061201,62.94
061202,25.71
061203,22.28
061204,12.83
061300,26.21
061301,89.57
061302,167.13
061303,14.71
061304,27.96
061305,38.68
061306,34.95
061307,24.97
061308,45.19
061309,2.20
061310,29.28
061311,81.26
070000,6811.60
070100,6811.60
070101,9810.00
070102,14970.20
070103,21120.00
070104,20472.33
070105,212.72
070106,4508.57
070107,15099.00
080000,16.75
080100,725.43
080101,988.19
080102,11.88
080103,162.40
080104,554.13
080105,1264.45
080106,1353.66
080107,191.71
080108,9756.83
080200,24.20
080201,32.14
080202,28.80
080203,16.25
080204,24.91
080205,26.11
080206,10.77
080207,42.00
080300,29.96
080301,106.77
080302,54.71
080303,55.40
080304,10.30
080305,19.79
080306,14.14
080307,10.95
080308,78.68
080309,66.37
080400,14.31
080401,66.33
080402,48.49
080403,56.52
080404,10.92
080405,66.78
080406,40.88
080407,79.85
080408,2.79
080500,15.44
080501,29.55
080502,9.89
080503,12.63
080504,10.61
080505,11.42
080506,61.27
080507,18.02
080508,21.38
080600,23.95
080601,89.52
080602,4.91
080603,25.07
080604,22.17
080605,6.41
080606,8.06
080607,47.58
080608,63.66
080700,12.36
080701,11.29
080702,14.21
080703,9.26
080704,15.36
080705,13.69
080706,13.87
080707,17.13
080708,12.08
080800,10.84
080801,46.61
080802,1.70
080803,6.16
080804,2.89
080805,5.91
080806,9.71
080807,2.52
080808,5.14
080900,4.89
080901,77.99
080902,1.21
080903,9.11
080904,27.56
80914,#DIV/0!
080905,5.15
080906,16.64
080907,17.62
080908,4.46
080909,2.88
080910,31.08
080911,3.89
080912,3.16
080913,8.62
081000,12.89
081001,20.95
081002,12.36
081003,9.19
081004,6.88
081005,13.41
081006,12.48
081007,14.21
081008,12.99
081009,21.14
081100,6.75
081101,11.00
081102,24.47
081103,11.29
081104,17.46
081105,47.66
081106,1.18
081200,11.56
081201,78.62
081202,68.20
081203,0.70
081204,9.12
081205,43.17
081206,17.02
081207,42.50
081208,38.71
081209,2.55
081210,15.97
081211,127.62
081212,28.63
081300,42.21
081301,156.89
081302,110.28
081303,53.91
081304,19.73
081305,45.05
081306,15.88
081307,45.39
090000,15.71
090100,27.29
090101,77.39
090102,2.66
090103,33.27
090104,22.39
090105,22.74
090106,5.58
090107,16.33
090108,70.50
090109,9.56
090110,6.19
090111,84.83
090112,10.45
090113,7.95
090114,24.45
090115,11.63
090116,5.95
090117,60.12
090118,36.03
090119,31.12
090200,41.94
090201,73.01
090202,39.30
090203,49.89
090204,22.46
090205,9.80
090206,46.08
090207,52.39
090208,50.00
090300,25.12
090301,28.07
090302,98.82
090303,24.04
090304,25.26
090305,5.15
090306,16.41
090307,12.15
090308,33.67
090309,35.43
090310,70.39
090311,10.72
090312,18.39
090400,3.51
090401,3.12
090402,3.20
090403,4.07
090404,2.27
090405,2.37
090406,7.99
090407,5.34
090408,7.19
090409,6.88
090410,3.25
090411,1.39
090412,5.73
090413,7.92
090500,26.71
090501,37.69
090502,35.79
090503,12.22
090504,31.55
090505,14.77
090506,36.65
090507,44.35
090508,19.61
090509,26.71
090510,11.90
090511,26.72
090600,2.67
090601,5.35
090602,3.71
090603,9.57
090604,34.46
090605,4.12
090606,5.24
090607,1.28
090608,1.48
090609,3.09
090610,5.30
090611,12.96
090612,6.02
090613,1.45
090614,2.22
090615,2.91
090616,2.94
090700,24.10
090701,92.30
090702,19.44
090703,32.02
090704,42.56
090705,35.47
090706,84.94
090707,11.02
090709,19.89
090710,22.09
090711,22.63
